version,buildingId,x,y,floor,mx,my,mz,my_bias,mx_bias,mz_uncalib,mz_bias,my_uncalib,mx_uncalib,uploaddAt
Line_3_entrance_hall_left_classes_extra,e384f534f12c984588d8868e,192,378,0,43.22700119018555,1.8820000886917114,53.45600128173828,-65.56200408935547,-16.07000160217285,-26.989002227783203,-80.44500732421875,-63.68000411987305,27.157001495361328,2024-06-17T12:05:46.331Z
Line_3_left_hall,e384f534f12c984588d8868e,241,383,0,40.81700134277344,3.1410000324249268,48.0420036315918,-65.56200408935547,-16.069000244140625,-33.28000259399414,-80.44400024414062,-62.36300277709961,24.405000686645508,2024-06-17T12:16:16.280Z
Line_3_left_hall,e384f534f12c984588d8868e,241,463,0,44.871002197265625,8.429000854492188,50.36000061035156,-65.56200408935547,-16.069000244140625,-30.08500099182129,-80.44500732421875,-57.13300323486328,28.802001953125,2024-06-17T12:16:16.280Z
Line_3_left_hall,e384f534f12c984588d8868e,241,518,0,51.746002197265625,10.471000671386719,61.99700164794922,-65.56200408935547,-16.069000244140625,-16.582000732421875,-80.44400024414062,-55.208003997802734,36.3640022277832,2024-06-17T12:16:16.280Z
Line_3_left_hall,e384f534f12c984588d8868e,241,578,0,45.65300369262695,12.398000717163086,45.177001953125,-65.56200408935547,-16.07000160217285,-35.0260009765625,-80.44500732421875,-53.746002197265625,29.5260009765625,2024-06-17T12:16:16.280Z
Line_3_left_hall,e384f534f12c984588d8868e,241,648,0,44.915000915527344,15.349000930786133,56.53300094604492,-65.56200408935547,-16.069000244140625,-21.95800018310547,-80.44400024414062,-49.884002685546875,28.57600212097168,2024-06-17T12:16:16.280Z
Line_3_left_hall,e384f534f12c984588d8868e,216,643,0,41.52400207519531,16.727001190185547,44.772003173828125,-65.56200408935547,-16.07000160217285,-35.67300033569336,-80.44500732421875,-48.83500289916992,25.45400047302246,2024-06-17T12:16:16.280Z
Line_3_left_hall_2_stairs,e384f534f12c984588d8868e,166,648,0,44.17000198364258,23.349000930786133,48.0150032043457,-65.56200408935547,-16.07000160217285,-32.42900085449219,-80.44400024414062,-42.2130012512207,28.100000381469727,2024-06-17T12:19:05.001Z
Line_3_left_hall_2_stairs,e384f534f12c984588d8868e,111,648,0,46.35100173950195,18.94500160217285,59.89200210571289,-65.56200408935547,-16.069000244140625,-19.69300079345703,-80.44400024414062,-46.191001892089844,30.67500114440918,2024-06-17T12:19:05.001Z
Line_3_left_hall_2_stairs,e384f534f12c984588d8868e,111,613,0,41.37800216674805,11.445000648498535,56.566001892089844,-65.56200408935547,-16.07000160217285,-22.017000198364258,-80.44400024414062,-54.29500198364258,24.091001510620117,2024-06-17T12:19:05.001Z
Line_3_left_hall_2_stairs,e384f534f12c984588d8868e,161,613,-1,42.77000045776367,8.190000534057617,46.20900344848633,-65.56200408935547,-16.069000244140625,-33.71000289916992,-80.44400024414062,-56.75800323486328,27.779001235961914,2024-06-17T12:19:05.001Z
Line_3_left_hall_2_stairs,e384f534f12c984588d8868e,216,608,-1,36.288002014160156,2.307000160217285,42.59400177001953,-65.56200408935547,-16.069000244140625,-37.022003173828125,-80.44400024414062,-62.05400466918945,20.69300079345703,2024-06-17T12:19:05.001Z
Line_3_left_area,e384f534f12c984588d8868e,316,603,0,45.67100143432617,12.830000877380371,50.5150032043457,-65.56200408935547,-16.069000244140625,-29.929000854492188,-80.44400024414062,-52.73200225830078,29.602001190185547,2024-06-17T12:23:16.552Z
